COMMON_NAME,classification
Pigeon Guillemot,W
Brandt's Cormorant,W
Tyrian Metaltail,L
Streak-throated Bush-Tyrant,L
Band-tailed Seedeater,L
Le Conte's Sparrow,L
Redwing,L
Eastern Buzzard,R
Groove-billed Ani,L
Varied Bunting,L
Pacific Loon,W
White-lined Tanager,L
Yellow-breasted Brushfinch,L
White-banded Tyrannulet,L
White-tipped Dove,L
Cinnamon Flycatcher,L
Golden-breasted Puffleg,L
Lesser Violetear,L
Inland Thornbill,L
Williamson's Sapsucker,L
Wedge-tailed Eagle,R
Rufous Songlark,L
Pink Robin,L
Vinous-throated Parrotbill,L
Asian Emerald Dove,L
Chinese Blackbird,L
Gray-backed Thrush,L
Eastern Spot-billed Duck,W
Arctic Warbler,L
Manchurian Bush-Warbler,L
Rufous-capped Babbler,L
Pheasant-tailed Jacana,W
Brown-headed Thrush,L
Black-collared Starling,L
Narcissus Flycatcher,L
Rufous-capped Warbler,L
Green Kingfisher,W
Mediterranean Gull,W
Azure Kingfisher,W
Clark's Nutcracker,L
Blue-crowned Parakeet,L
Lilac-crowned Parrot,L
Water Rail,W
Common Murre,L
Northern Pygmy-Owl,R
Chinese Hwamei,L
Gray-streaked Flycatcher,L
Upland Sandpiper,W
Cuban Grassquit,L
Japanese Waxwing,L
Yellow-browed Warbler,L
Japanese Bush-Warbler,L
Black-faced Monarch,L
Silver-throated Tanager,L
Bronzed Drongo,L
White-collared Seedeater,L
Yellow-headed Parrot,L
Tricolored Blackbird,L
American Dipper,W
Common Sandpiper,W
American Golden-Plover,W
Spectacled Monarch,L
Double-barred Finch,L
Great Bittern,W
Gray Goshawk,R
Black-necklaced Scimitar-Babbler,L
Taiwan Whistling-Thrush,L
Greater Pewee,L
Zone-tailed Hawk,R
Peaceful Dove,L
Red-crested Cotinga,L
Fawn-breasted Tanager,L
Collared Inca,L
Speckled Hummingbird,L
Crested Caracara,R
White-headed Duck,W
King Rail,W
Audubon's Oriole,L
Besra,L
White-eared Sibia,L
Blue Bunting,L
Least Grebe,W
Jacky-winter,L
Satin Flycatcher,L
Sandwich Tern,W
Lesser Antillean Pewee,L
Yellow-collared Lovebird,L
White-naped Honeyeater,L
Saffron Finch,L
Northern Boobook,R
Black-naped Tern,W
Crested Serpent-Eagle,L
Zebra Dove,L
Black-shouldered Kite,R
Black-faced Spoonbill,W
Little Tern,W
Morrison's Fulvetta,L
Yellow Bittern,W
Buff-bellied Hummingbird,L
Common Eider,W
Tawny Pipit,L
Ortolan Bunting,L
Common Quail,L
Blyth's Reed-Warbler,L
Puerto Rican Lizard-Cuckoo,L
African Collared-Dove,L
Ruddy Ground-Dove,L
Chestnut-collared Longspur,L
Blue-and-white Flycatcher,L
Pechora Pipit,L
Rufous-tailed Hummingbird,L
Dull-colored Grassquit,L
Indian Peafowl,L
Northern Red Bishop,L
Caribbean Elaenia,L
Seaside Sparrow,L
Crescent Honeyeater,L
White-whiskered Laughingthrush,L
Large-billed Crow,L
Asian House-Martin,L
White-bellied Erpornis,L
Japanese Night-Heron,W
White-bellied Pigeon,L
Taiwan Yuhina,L
Varied Sittella,L
Fulvous Whistling-Duck,W
Black-capped Tanager,L
Oriental Reed-Warbler,L
Rose-crowned Fruit-Dove,L
Little Gull,W
Black-throated Thrush,L
Chinese Egret,W
Black-crested Warbler,L
Red-winged Parrot,L
Yellow-shouldered Blackbird,L
White-throated Hawk,R
Small-billed Elaenia,L
Red Knot,W
White-tailed Hawk,R
Red-capped Cardinal,L
Chiloe Wigeon,L
Great White Pelican,W
Hawaiian Goose,W
Bar-headed Goose,W
White-cheeked Pintail,W
Pink-backed Pelican,W
Smew,W
Swan Goose,W
Chukar,L
Maccoa Duck,W
Ringed Teal,W
Muscovy Duck,W
Helmeted Guineafowl,L
Golden Pheasant,L
Yellow-fronted Canary,L
Desert Whitethroat,L
Garganey,W
Green-backed Flycatcher,L
European Shag,W
Taiwan Hwamei,L
